agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd
USGS,431823101553301, 38N39W 3BCCB,GW,43.2969397,-101.9301518,S,NAD83, 3385, 20,NGVD29,10140202
USGS,431823103111001,008S08E32DC,GW,43.30636816,-103.1865868,F,NAD83, 3351, 10,NGVD29,10120109
USGS,431824102050301, 39N40W32C,GW,43.3066598,-102.0845992,T,NAD83, 3483, 30,NGVD29,10140201
USGS,431824102225301, 39N43W35C,GW,43.3066552,-102.3818306,T,NAD83, 3054, 30,NGVD29,10140201
USGS,431825102053801, 39N40W31DCAD,GW,43.3058263,-102.0934883,S,NAD83, 3444, 20,NGVD29,10140201
USGS,431830101553001, 39N39W33CCC,GW,43.30360629,-101.9495964,T,NAD83, 3400.00, 50,NGVD29,10140202
USGS,431832102021901, 39N40W34DBCB,GW,43.30777179,-102.0376536,S,NAD83, 3149, 20,NGVD29,10140201
USGS,431834101524701, 39N39W36D,GW,43.30638497,-101.8759843,S,NAD83, 3320, 40,NGVD29,10140202
USGS,431834102221501, 39N43W35DABB,GW,43.30943318,-102.3712747,F,NAD83, 3031, 20,NGVD29,10140201
USGS,431834102274401, 39N43W31,GW,43.30943215,-102.4554446,M,NAD83, 2999,130,NGVD29,10140201
USGS,431834102462501, 39N46W33CBDA,GW,43.30942886,-102.7740705,T,NAD83, 2825.00, 20,NGVD29,10140201
USGS,431836102215201, 39N43W36CBB,GW,43.3099888,-102.3648856,T,NAD83, 3041, 30,NGVD29,10140201
USGS,431836102340901, 39N44W31DBDB,GW,43.3099865,-102.5696162,T,NAD83, 2900.00, 10,NGVD29,10140201
USGS,431838101551201, 39N39W34DCDD,GW,43.30332889,-101.9165404,S,NAD83, 3280, 20,NGVD29,10140201
USGS,431838102033301, 39N40W33BDAB,GW,43.31332704,-102.0612652,S,NAD83, 3188, 30,NGVD29,10140201
USGS,431839102453401, 39N46W33DAAA,GW,43.31081798,-102.759903,T,NAD83, 2835.00, 20,NGVD29,10140201
USGS,431840102120101, 39N41W32BDD,GW,43.3111022,-102.2007132,T,NAD83, 3313, 90,NGVD29,10140201
USGS,431840102345201, 39N44W31BCC,GW,43.3110975,-102.5815612,T,NAD83, 2950, 50,NGVD29,10140201
USGS,431840103184601,008S07E32,GW,43.3110892,-103.3132535,M,NAD83, 3490, 10,NGVD29,10120109
USGS,431843102031501, 39N40W33ACAC,GW,43.3124938,-102.0554318,S,NAD83, 3182, 20,NGVD29,10140201
USGS,431844102254101, 39N43W32AD,GW,43.31221029,-102.4284992,T,NAD83, 3166,180,NGVD29,10140201
USGS,431845103044001,008S09E32BD,GW,43.3124804,-103.0782524,F,NAD83, 3626,50,NGVD29,10120109
USGS,431847102310401, 39N44W34DBD,GW,43.31304258,-102.518225,T,NAD83, 3110, 90,NGVD29,10140201
USGS,431848102104101, 39N41W29DACB,GW,43.3224914,-102.1934909,S,NAD83, 3149, 15,NGVD29,10140201
USGS,431849101400001, 39N37W35B,GW,43.31360857,-101.6670938,F,NAD83, 2886.00, 20,NGVD29,10140202
USGS,431849102221901, 39N43W35A,GW,43.31359988,-102.3723859,M,NAD83, 3018, 20,NGVD29,10140201
USGS,431850102023301, 39N40W33BDBC,GW,43.3130495,-102.047376,S,NAD83, 3198, 20,NGVD29,10140201
USGS,431850102255401, 39N43W35B,GW,43.3138769,-102.4321105,T,NAD83, 3054, 60,NGVD29,10140201
USGS,431852102465801, 39N46W32A,GW,43.3144288,-102.784349,T,NAD83, 2820.00, 20,NGVD29,10140201
USGS,431854102024701, 39N40W34BB2,GW,43.314994,-102.0468204,T,NAD83, 3160, 20,NAVD88,10140201
USGS,431855101590701, 39N39W31BAC,GW,43.3152728,-101.9857079,S,NAD83, 3280, 60,NGVD29,10140201
USGS,431857102025201, 39N40W33ACA,GW,43.31332716,-102.0548762,S,NAD83, 3214, 20,NGVD29,10140201
USGS,431858101592101, 39N39W31DCB,GW,43.30471707,-101.9798746,S,NAD83, 3379, 20,NGVD29,10140201
USGS,431858102191401, 39N42W32BA,GW,43.31610056,-102.3193283,T,NAD83, 3461, 60,NGVD29,10140201
USGS,431859102221301, 39N43W35AABC,GW,43.3163777,-102.3707192,F,NAD83, 3018, 20,NGVD29,10140201
USGS,431859102471201, 39N46W32ABC,GW,43.31637324,-102.787127,T,NAD83, 2830.00, 20,NGVD29,10140201
USGS,431900102111901, 39N41W33BBB,GW,43.31665809,-102.1890463,T,NAD83, 3133, 30,NGVD29,10140201
USGS,431900102114601, 39N41W32ABA,GW,43.31665799,-102.1948798,T,NAD83, 3278, 40,NGVD29,10140201
USGS,431901101170201, 39N39W32AAAA,GW,43.3169399,-101.9509852,S,NAD83, 3369, 10,NGVD29,10140202
USGS,431902102471201, 39N46W32ABB,GW,43.31720659,-102.787127,T,NAD83, 2830.00, 20,NGVD29,10140201
USGS,431903102220701, 39N43W26DDCD,GW,43.31748885,-102.3690525,F,NAD83, 3021, 20,NGVD29,10140201
USGS,431903102282101, 39N44W36ABB,GW,43.31748758,-102.4729454,T,NAD83, 2854, 30,NGVD29,10140201
USGS,431905102281301, 39N44W25DCDA,GW,43.31804317,-102.4707231,T,NAD83, 2890, 50,NGVD29,10140201
USGS,431907102223501, 39N43W36BCCC R,GW,43.31859988,-102.3768306,F,NAD83, 3051, 30,NGVD29,10140201
USGS,431908103163501,008S07E27CCD,GW,43.31886766,-103.2768649,F,NAD83, 3310, 10,NGVD29,10120109
USGS,431909102113301, 39N41W29DD,GW,43.31915809,-102.1909908,T,NAD83, 3133, 30,NGVD29,10140201
USGS,431909103161801,008S07E27DCC,GW,43.3191455,-103.2721427,S,NAD83, 3354,5,NGVD29,10120109
USGS,431911102274601, 39N43W30CCC,GW,43.31804327,-102.4632228,T,NAD83, 2936, 30,NGVD29,10140201
USGS,431913101422401, 39N37W28CBCC,GW,43.32027539,-101.711538,S,NAD83, 2953, 20,NGVD29,10140202
USGS,431915102031401, 39N40W28D,GW,43.3208273,-102.0543206,T,NAD83, 3388,150,NGVD29,10140201
